Course Name,Course URL,Price
AI Agents 10 Day Bootcamp,https://vizuara.ai/courses/ai-agents-10-day-bootcamp,9999
LLM Finetuning Workshop,https://vizuara.ai/courses/llm-finetuning-workshop,6417.7
RLHF From Scratch Workshop,https://vizuara.ai/courses/rlhf-from-scratch-workshop,4999
Production ready RAG workshop,https://vizuara.ai/courses/production-ready-rag-workshop,3000
Build Vision Transformer (ViT) From Scratch,https://vizuara.ai/courses/build-vision-transformer-vit-from-scratch,1999
,,
Build a NanoVLM from scratch,https://vizuara.ai/courses/build-a-nanovlm-from-scratch,1999
Build Vision Transformer (ViT) From Scratch,https://vizuara.ai/courses/build-vision-transformer-vit-from-scratch-2,1999
Build Data Efficient Image Transformer (DeiT) from scratch,https://vizuara.ai/courses/build-data-efficient-image-transformer-deit-from-scratch,1999
Memory Workshop,https://vizuara.ai/courses/memory-workshop,1068.88
Build Machine Learning Fundamentals,https://vizuara.ai/courses/build-machine-learning-fundamentals,533.55
"Transformers: Theory, intuition, and Building from Scratch",https://vizuara.ai/courses/transformers-theory-intuition-building-from-scratch,480.37
